"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"RIVERSOFT","Klima Samsung Luzon AR12TXHZAWKNEU/AR12TXHZAWKXEU inverter 3.5KW","38690.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/116488/1.webp","Технички податоци","Капацитет на ладење (kW): 3,5 (0,9-4,0)","Капацитет на загревање (kW): 3,5 (0,9-5,0)","Ладилник: R32","Пристаниште ел. Енергија за ладење (W): 1220","Пристаниште ел. Енергетско греење (W): 940","SEER (W): 6,5","SCOP (W): 4.0","Напојување (ph-V-Hz): 1-220-240-50","Ниво на моќност на звукот u.j. (dB(A)): 56","Ниво на притисок на звукот u.j. (dB(A)): 38/19","Ниво на моќност на звукот v.j. (dB(A)): 64","Ниво на притисок на звукот v.j. (dB(A)): 47","Димензии на внатрешната единица - SxVxD (mm): 820x299x215","Димензии на надворешни единици - SxVxD (mm): 660x475x242","Тежина на внатрешната единица (kg): 9.1/11.1","Тежина на надворешната единица (кг): 22,6/24,3","Течна фаза со пречник на цевките (инч(мм)): 1/4 (фи 6.35)","Гасна фаза со дијаметар цевки (инч(мм)): 3/8(fi 9.52)","Макс должина на нафтоводот (m): 15","Макс висинска разлика (m): 8","Работна област hl./gr°C (Min~Max): .-10 ~ 46 / .-15 ~ 24","Расред на носачот на надворешни единици (cm): 43,6","Гаранција: 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima Toyotomi ErAi Mystery White CTN/CTG-335W 12-ka Invertrer A+++/A+++ -25","39900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9996475/1.webp","ЕНЕРГЕТСКА КЛАСА A+++ / A+++","BTU (ЛАДЕЊЕ / ГРЕЕЊЕ) 12000 / 13000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ (MIN / NOM / MAX), KW 0,90 / 3,50 / 4,40","КАПАЦИТЕТ ЗА ГРЕЕЊЕ (MIN / NOM / MAX), KW 0,90 / 3,20 / 4,70","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 144","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 875","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 8.5","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 5.6","ПРЕПОРАЧАНА ПОВРШИНА, M? 25-35","РАБОТНА ТЕМПЕРАТУРА, °C -25 ~ +50","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 390-680","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 19-43","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 53","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 837 ? 293 ? 200","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 802 ? 555 ? 330","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 9,5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 25,5","ДОДАТОЦИ HEPA/Silver Ion/Biology sterilization","Вештачка интелигенција „AI”Wi-Fi","Plasma јоннизатор","UV стерилизаија на воздух","Грејач на надворешна единица","ГАРАНЦИЈА 24 месеци","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima Vivax COOL ACP-18CH50AEMIs R32 18ka inverter","39990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/20549/1.webp","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ: 6130.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ: 6740.00 W","ПРОСЕЧНА МОЌНОСТ: 5280/5570 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ: 1539 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ: 1480 W","ПРОТОК НА ВОЗДУХ: 840.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ: 1.80 l/h","НИВО НА БУЧАВА: 44.00 dB","РАБОТНА ТЕМПЕРАТУРА: ОД -15 ? ДО 50 ?","МАСА ВНАТРЕШНА ЕДИНИЦА: 10.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА: 34.00 kg","ПРЕПОРАЧАНА ПОВРШИНА: 55 м2","ФРЕОН: R32","ФИЛТРИ: Био филтер, филтер за прашина","ДИМЕНЗИИ ВНАТ. ЕДИНИЦА: 957 X 302 X 213 mm","ДИМЕНЗИИ НАДВ. ЕДИНИЦА: 800 X 554 X 333 mm","ГАРАНЦИЈА: 3 години","Висока ефикасност, самодијагноза, 1W standby, заштита на вентил надворешна","единица, 12 Fan Speed, self cleaning, индикатор за истекување на гасот за","разладување, безшумна операција, двосмерен одвод на кондензат, дигитален екран,","sleep mode, тајмер, интелегентно отопување, memory функција, турбо, припрема за WiFi ( WiFi ready )","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX COOL ACP-12CH35REWI R32 A+++ Inverter 12-ka","39990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/114245/1.webp","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:5199.00 W","ПРОСЕЧНА МОЌНОСТ:3500/4200 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:875 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1100 W","ПРОТОК НА ВОЗДУХ:650.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.60 l/h","НИВО НА БУЧАВА:38.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ? ДО 43 ?","МАСА ВНАТРЕШНА ЕДИНИЦА:10.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:31.50 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 40 м2","ФРЕОН:R32","ФИЛТРИ:Nano Aqua јонизатор,филтер за прашина и био филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:800 X 553 X 275 mm","ГАРАНЦИЈА:5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima MDV MSAGCU-18HRFN8 AG Serie 5,5KW 18-ka Inverter -20 A++/A+","40999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013665/1.webp","Ладење капацитет: 5270 W","Греење капацитет: 5650 W","Енер. класа A++/A+","SEER/SCOP: 7.0/4.0","Работен капацитет(kW) :3.1 – 5.85","Работен опсег(C°): -20~50","Греач на надворешна единица","Комперсор","Тип: ROTARY","Бренд: GMCC","Внатрешна единица","Проток на воздух (m3/h): 800/600/500","Ниво на бучавост (dB): 41/37/31/20","Тежина (kg): 11.2","Димензија (mm): 969*320*241","Надворешна единица Димензија (mm): 874*330*554","Тежина (kg): 33,5","Цевки (mm): 6,35/12,17","Фреон: R32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HAIER AS35S2SF1FA/1U35S2SM1FA FLEXIS BLACK INVERTER","41999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/100479/1.webp","Енергетска класа (SEER/SCOP): A+++ (8.5 / 4.6)","Максимален капацитет на ладење: 4000 W","Максимален капацитет на греење: 5200 W","Просечна моќност: Ладење: 3500 W ; Греење: 4200 W","Влезна моќност ладење: 880 W","Влезна моќност греење: 1100 W","Проток на воздух: 650 m?/h","Капацитет на одвлажнување: 1.6 L/h","Ниво на бучава: 39 dB (A)","Работна температура: од -20 до 43 °C","Маса внатрешна единица: 9.5 kg","Маса надворешна единица: 31.5 kg","Препорачана површина: 35 m?","Фреон: Еколошки фреон R32","Филтри: Анти бактериски филтер","Димензии надворешна единица: 800x550x280 mm","Димензии внатрешна единица: 866x301x196 mm","Останато: A-PAM DC Inverter технологија со IntelligentAir, super Quiet mode, comfortable sleep mode - режими на работа, LED дисплеј во боја, Wi-Fi уред вклучен во цената, вграден Eco sensor, dry функција за одвлажување и можност за 3М Purify Filter, функција Clean Air за активно прочистување на воздухот од вируси, бактерии и прашина, функција на самочистење и самодијагностицирање, аuto-restart, Real Clock Timer.","Гаранција: 3 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima Toyotomi ErAi Black Velvet CTN/CTG-335BV 12-ka Inverter A+++/A+++","36900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9997680/1.webp","ЕНЕРГЕТСКА КЛАСА A+++ / A+++","BTU (ЛАДЕЊЕ / ГРЕЕЊЕ) 12000 / 13000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ (MIN / NOM / MAX), KW 0,90 / 3,50 / 4,40","КАПАЦИТЕТ ЗА ГРЕЕЊЕ (MIN / NOM / MAX), KW 0,90 / 3,20 / 4,70","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 144","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 875","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 8.5","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 5.6","ПРЕПОРАЧАНА ПОВРШИНА, M? 25-35","РАБОТНА ТЕМПЕРАТУРА, °C -25 ~ +50","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 390-680","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 19-43","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 53","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 837 ? 293 ? 200","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 802 ? 555 ? 330","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 9,5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 25,5","ДОДАТОЦИ HEPA/Silver Ion/Biology sterilization","Вештачка интелигенција „AI”Wi-Fi","Plasma јоннизатор","UV стерилизаија на воздух","Грејач на надворешна единица","ГАРАНЦИЈА 24 месеци","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HISENSE EASY SMART CA50XS1AG/CA50XS1AW INVERTER 5,5KW -20C, WI-FI READY","36990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/110423/1.webp","GMCC TOSHIBA компресор","Далечинско управување: Далечински управувач","Препорачана употребна површина: 18-28","Работна температура во режим на греење : -20- 24","Опсег на работна температура во режим на ладење: -15 – 43","Опсег на поставување на температура: 16-30","Копче за рачно управување","Режим на работа: Инвертер","Разладно средство: R32","Меморија на позицијата на насочувачите","Двоен одвод на кондензатот: Лево или десно","Енергетска класа – греење: А+","Брзина на надворешниот вентилатор: 3","Брзина на внатрешниот вентилатор: 7","Далечински управувач како собен термостат","Скриен ЛЕД дисплеј","Затемнување на екран","Само-дијагностика","Автоматски внатрешен вентилатор","Просечна грејна моќност (Pdesignh) – просечна грејна сезона: 4,2 kW","Деклариран капацитет (Pdh(Tj)) – просечна грејна сезона: 4,2 kW","Моќност за ладење: 5 kW","Капацитет на одвлажнување: 2 L/h","Дијаметар на кондензациската цевка: 18 mm","Филтер со активен јаглен","Автоматско повторно вклучување (при прекин на електрична енергија)","Заштита од замрзнување","Ноќен режим на работа – Night mode","Турбо функција","Функција за отстранување на влага","Вентилирање – проветрување","Тајмер 24h","Приклучна моќ(V): 220-240 V","Минимална јачина на звукот: 64 dB(A)re1pW","Грејна моќност: 5.600 W","Потрошувачка на електрична енергија во режим на мирување: 1 W","Фреквенција: 50 Hz","Разладна моќност: 5.000 W","Полнење на фреон: 1,15 gr","Минимален звучен притисок: 36 dB(A)2?10-5Pa","Максимален звучен притисок: 44 dB(A)2?10-5Pa","Потрошувачка на ел. енергија при греење: 1.550 W","Потрошувачка на ел. енергија при ладење: 1.540 W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima SAMSUNG CEBU 3.5KW AR12TXFYAWKNEU/AR12TXFYAWKXEU, SMART INVERTER","43649.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/113385/1.webp","AR12TXFYAWKNEU/AR12TXFYAWKXEU","SMART Инвертер клима уред","ЛЕД Дисплеј","Интегриран WiFi","12000BTU","Капацитет на ладење 3.5KW","Капацитет на греење 3.5KW","SEER 6.5 kWh","SCOP 4.0 kWh","EER на ладење 3.5 kWh","COP на греење 3.81 kWh","ДИГИТАЛЕН КОМПРЕСОР МОТОР - 8 фазен","Капацитет на одвлажнување 1.2л/ч","Брзо ладење со Powerboost дигиталниот конвертoр TT (Twin Tube) технологија до 43% побрзо ладење","Easy filter + филтер со Антибактериска + антиалергиска заштита","Турбо мод","Комфорт мод","Вентилатор мод","Самочистење","Двостепено ладење","Тајмер","Авто рестарт","Работна температура греење -15/+24","Работна температура ладење -10/+46","Бучност вантрешна единица мин. 19dB/ макс. 38 dB","Бучност надворешна единица 51 dB","Тип на гас R32","Идеална за простории до 40м2","Енергетска класа А++ на ладење/А+ на греење","Димензии внатрешна единица 820x299x215 мм","Димензии надворешна единица 660x475x242 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA TA36FFLL-1232IA 12000btu инвертер клима уред","18999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/ta36ffll-1232ia.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.2/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3800.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4000.00 W","ПРОСЕЧНА МОЌНОСТ:3400/3500 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1340 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:950 W","ПРОТОК НА ВОЗДУХ:600.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:01.70 l/h","НИВО НА БУЧАВА:36/40/45/48/54 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 49 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:7.50 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:18.50 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:650 X 455 X 278 mm","ДИМЕНЗИИ Внатре. ЕДИНИЦА:750×285×200 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA TT34TP21W-1232IA 12000BTU Inverter","20999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/tt34tp21w-1232ia.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3770.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:3810.00 W","ПРОСЕЧНА МОЌНОСТ:3400/3430 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1049 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:922 W","ПРОТОК НА ВОЗДУХ:560.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:51.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -20 ℃ ДО 53 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.50 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:24.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:777 X 498 X 290 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA TT34EX21-1232IA 12000BTU инвертер клима уред","20999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/2brpggbt1alb7ihzblx2m5vkc9aiejbtgqofsmr3(1","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:3770.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:3810.00 W","ПРОСЕЧНА МОЌНОСТ:3400/3420 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1130 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:922 W","ПРОТОК НА ВОЗДУХ:550.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:0.00 l/h","НИВО НА БУЧАВА:47.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -20 ℃ ДО 53 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:24.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:777 X 498 X 290 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 9000BTU ACP-09PT25AEG R290 мобилен клима уред","19999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/09062022103219cp-09pt25aeg-r290-slika_643_364.jpg","ЕНЕРГЕТСКА КЛАСА (EER/COP): A (2.6 / 0 )","ТИП КОМПРЕСОР :ИНВЕРТЕР","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ: 2726 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ: 970 W","ПРОТОК НА ВОЗДУХ: 370 M³/H","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ: 1 L/H","НИВО НА БУЧАВА: 51 DB (A)","МАСА ВНАТРЕШНА ЕДИНИЦА: 29.5 KG","ПРЕПОРАЧАНА ПОВРШИНА: 25 M","ФРЕОН: R290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CH35AEFIs R32","17999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/1af1vbpeowqjpptxaohpc7nwp6yynpwlidob6awl.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4162.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4220.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1213 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1088 W","ПРОТОК НА ВОЗДУХ:540.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:40.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -10 ℃ ДО 50 ℃","МАСА НА ВНАТРЕШНА ЕДИНИЦА:7.60 kg","МАСА НА НАДВОРЕШНА ЕДИНИЦА:23.20 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НА НАДВ. ЕДИНИЦА:720 X 495 X 270 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CHAEQI+ R32","20999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/voorz4gbxezd.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4162.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4220.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1213 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1088 W","ПРОТОК НА ВОЗДУХ:540.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:40.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -15 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:7.60 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:23.20 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина, Cold catalyst филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:720 X 495 X 270 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO ECO PRIME -15 12000btu N12AF15 inverter","17499.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/10072025133619neoecoprime.jpg","Модел: N12AF15 NEO ECO PRIME","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++(6.2/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 3800 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4000 W","ПРОСЕЧНА МОЌНОСТ 3400/3500 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 800 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 800 W","ПРОТОК НА ВОЗДУХ 600 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.70 Л/Ч","НИВО НА БУЧАВОСТ 54 ДБ","РАБОТНА ТЕМПЕРАТУРА -15 ДО 49 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 7,5 КГ","МАСА НА НАДВОРЕШНА ЕДИНИЦА 18,5 КГ","ДИМИНЗИИ ВНАТРЕШНА ЕДИНИЦА 750×285×200","ДИМЕНЗИИ НАДВОРЕШНА ЕДИНИЦА 650*455*278","ФРЕОН R32","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT 12000 BTU JD HB -25","23990.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/jdhb12000btu.jpg","Клима уред со R32 фреон","Капацитет: 4100.00W за ладење / 4200.00W за греење","Енергетска класа: (SCOP/SEER): A ++ (6.19/4.03)","Работна температура: Од – 25°C до 49°C","Просечна моќност на клима уредот: 3500/3800 W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
